OTUID,Species name
106ed7dc0227600cf4f402320cdb11ab,Patescibacteria
1b8464a5028cabc478bfeadbd11336b2,Asgardaeota
347f5fa6ddeebb886daa17e618874330,Zixibacteria
27895cfbf4096a184ad2c1fd271feba7,Chlamydiae
2c15879f6e0493e3497241c4109be673,Hydrogenedentes
c62f1cc66bc6b65b90800d956e19caeb,Aegiribacteria
202bc1c93762f5da59df003a8780f85a,Thermotogae
0002f15db0a619820472a18398197f5b,Bacteroidetes
8df13636f5eb6bf9d19c24c9acf7c3b2,Armatimonadetes
5196f4729e154b4305597fdc81c9d514,Nanoarchaeaeota
00793dece430bcf71e5849bd6a07f12d,Spirochaetes
00fcee69a3885b234e2dd8396a89130e,Synergistetes
00e49da04441ab2eddf92784d1724a65,Planctomycetes
701a9d929114e472ecff727b4f2bc765,Fibrobacteres
00291cb486e72af7670f7b0e74133a69,Actinobacteria
0020a0d0325652d9afc09ffee32e8002,Firmicutes
13d7754a56b77b903ad8e14a106a6821,Epsilonbacteraeota
22eb19bdbfc2552878ade9530d6534de,Calditrichaeota
816d60e490a425580172a31cae641e25,BRC1
f2cb5b568f7289fe805c64d697e2cbe2,Diapherotrites
0a4d71b5f0253f1820c2ff023860d9d9,Latescibacteria
ad74d955fc541aa83546d1d174f252f5,Cloacimonetes
001682b2bb137ddb40efa3944e2d6fc2,Proteobacteria
024c68e68bea18a86023bf3c6c3a8fdf,Deinococcus-Thermus
3a555fda2fabfbb8453649f15bb00672,Entotheonellaeota
2711831959b24a7e31edb26253c5d5ae,Fusobacteria
0f08a14970e5aed7a753b7092261d074,Caldiserica
3cc5f423163462a6ad1810df2ffca4d5,Nitrospirae
25020d699486a4bbebf71223904ad857,Nitrospinae
3153e2e97a8005e27eed4e3159e4e56e,WPS-2
9460438a9aa2c4649b0b76a3c5688025,Omnitrophicaeota
2a33ef6653297501ddb2c5710e58fbdd,Dadabacteria
507cd63ba3bbe1ab05eec7e61ebdd2e2,Dependentiae
00e410cf5ba81da3d93e35809b1dff32,Verrucomicrobia
128f2cccb98ec94130576517025792ec,Marinimicrobia (SAR406 clade)
0ea35862186a6db1ecfbf5566248d95e,Crenarchaeota
d45181c993dd9d731520f6e8f664ce76,Atribacteria
248da23fd7828472689ae410ec0ff585,Euryarchaeota
596ce09267ebadfc1010766079a61896,Rokubacteria
05dfbe0e076a74d53512c4faa79bf9a6,Gemmatimonadetes
0d410385b940330b20205b60313fb8f9,Tenericutes
0eecd98ee0fc801c9e05d6d60939d76b,Thaumarchaeota
056187ef37d059aaf9b50168420fbd1f,Cyanobacteria
04409c001c6161d6ec9900fccc781be1,Chloroflexi
030fe41d5bd286cd7b06b321453a2f9d,Acidobacteria
2cafe33a2d0d26c86ce814565de455e7,Kiritimatiellaeota
